Model,Item,Part No.,Part Description (TCLNA), Price ,Type,Year Sold
TAC-08CPA/HA,1,810700494,Horizon deflector 2, $ 5.58 ,Portable,2017
TAC-08CPA/HA,2,810700691,Deflector link, $ 0.50 ,Portable,2017
TAC-08CPA/HA,3,810700690,Support of deflector, $ 2.00 ,Portable,2017
TAC-08CPA/HA,4,810700689,Horizon deflector link 1, $ 4.00 ,Portable,2017
TAC-08CPA/HA,5,810700692,Fixer of motor, $- ,Portable,2017
TAC-08CPA/HA,6,1175032001B,Step motor, $ 21.60 ,Portable,2017
TAC-08CPA/HA,7,811303723B,Panel sticker, $- ,Portable,2017
TAC-08CPA/HA,8,810700488,Top panel, $- ,Portable,2017
TAC-08CPA/HA,9,810900379,Display board, $ 41.80 ,Portable,2017
TAC-08CPA/HA,10,810800088,Protect net, $ 3.12 ,Portable,2017
TAC-08CPA/HA,11,810700492,Outlet duct, $- ,Portable,2017
TAC-08CPA/HA,12,8090950003B,Receiver board, $ 14.88 ,Portable,2017
TAC-08CPA/HA,13,810700497,Handle, $- ,Portable,2017
TAC-08CPA/HA,14,810700762B,Front panel, $- ,Portable,2017
TAC-08CPA/HA,15,810800072,Electrical box cover, $- ,Portable,2017
TAC-08CPA/HA,16,810800071,Electrical box, $- ,Portable,2017
TAC-08CPA/HA,17,1170100037,Fan motor capacitor, $ 9.76 ,Portable,2017
TAC-08CPA/HA,18,1170100044,Fan motor capacitor, $ 5.68 ,Portable,2017
TAC-08CPA/HA,19,1170100004-R,Capacitor of compressor, $ 11.73 ,Portable,2017
TAC-08CPA/HA,20,1085110009,Capacitor clamp, $- ,Portable,2017
TAC-08CPA/HA,21,810900378,Control circuit board, $- ,Portable,2017
TAC-08CPA/HA,22,1073030201,Sensor fixer, $- ,Portable,2017
TAC-08CPA/HA,23,1175032007,Sensor resistance, $ 8.04 ,Portable,2017
TAC-08CPA/HA,24,810700515,lead of water, $- ,Portable,2017
TAC-08CPA/HA,25,811200746,Evaporator, $- ,Portable,2017
TAC-08CPA/HA,26,810700397,Front duct of evaporator, $- ,Portable,2017
TAC-08CPA/HA,27,810700400,Centrifugal fan, $- ,Portable,2017
TAC-08CPA/HA,28,810700398,Rear duct of evaporator, $- ,Portable,2017
TAC-08CPA/HA,29,810900023B,Fan motor, $- ,Portable,2017
TAC-08CPA/HA,30,1075100022,Clamp, $- ,Portable,2017
TAC-08CPA/HA,31,810700410,Middle metal panel, $- ,Portable,2017
TAC-08CPA/HA,32,810800093,Support, $- ,Portable,2017
TAC-08CPA/HA,33,810900137,Fan motor, $ 47.46 ,Portable,2017
TAC-08CPA/HA,34,810700417,Rear duct of condenser, $- ,Portable,2017
TAC-08CPA/HA,35,1175110002,Centrifugal fan, $ 10.00 ,Portable,2017
TAC-08CPA/HA,36,810700416,Front duct of condenser, $- ,Portable,2017
TAC-08CPA/HA,37,810700418,Condenser seal, $- ,Portable,2017
TAC-08CPA/HA,38,811200747,Condenser, $- ,Portable,2017
TAC-08CPA/HA,39,810800073,Condensor protector, $- ,Portable,2017
TAC-08CPA/HA,40,810700026C,Float fix panel, $- ,Portable,2017
TAC-08CPA/HA,41,810900031,Float switch, $- ,Portable,2017
TAC-08CPA/HA,42,1075090029,Splash motor left cover, $- ,Portable,2017
TAC-08CPA/HA,43,8170070001B,Splash motor, $- ,Portable,2017
TAC-08CPA/HA,44,1075090017,Splash moter right cover, $- ,Portable,2017
TAC-08CPA/HA,45,8070032005,Castor, $ 3.24 ,Portable,2017
TAC-08CPA/HA,46,814100485,Base, $- ,Portable,2017
TAC-08CPA/HA,47,810700027,Stopper, $ 1.54 ,Portable,2017
TAC-08CPA/HA,48,1075110023,Splash disk, $- ,Portable,2017
TAC-08CPA/HA,49,811200726,Capillary, $- ,Portable,2017
TAC-08CPA/HA,50,811200742,Compressor, $- ,Portable,2017
TAC-08CPA/HA,51,811200743,Discharge pipe, $- ,Portable,2017
TAC-08CPA/HA,52,811200744,Suction pipe, $- ,Portable,2017
TAC-08CPA/HA,53,810700491,Filter of evaporator, $ 5.36 ,Portable,2017
TAC-08CPA/HA,54,810700490,Grill of evaporator, $- ,Portable,2017
TAC-08CPA/HA,55,810700489,Back panel, $- ,Portable,2017
TAC-08CPA/HA,56,214106113A,Cover of drainage hose, $ 0.40 ,Portable,2017
TAC-08CPA/HA,57,210703297,Seal, $ 2.00 ,Portable,2017
TAC-08CPA/HA,58,210703134,Fixer of drainage cover, $ 2.75 ,Portable,2017
TAC-08CPA/HA,59,8120120025A,Exhaust Hose, $ 12.30 ,Portable,2017
TAC-08CPA/HA,60,810700396,Hose inlet, $ 4.26 ,Portable,2017
TAC-08CPA/HA,61,810700693,Window slider, $ 14.54 ,Portable,2017
TAC-08CPA/HA,62,810700345A,Hose outlet, $ 4.75 ,Portable,2017
TAC-08CPA/HA,63,810800108,Protect net of window slider, $ 2.54 ,Portable,2017
TAC-08CPA/HA,64,810900417B,Remote controller, $ 12.87 ,Portable,2017
TAC-08CPA/HA,65,810900443,Power cord, $- ,Portable,2017
TAC-10CPA/HA,19,810900275,Capacitor of compressor, $- ,Portable,2017
TAC-10CPA/HA,20,1085110009,Capacitor clamp, $- ,Portable,2017
TAC-10CPA/HA,21,810900378,Control circuit board, $- ,Portable,2017
TAC-10CPA/HA,22,1073030201,Sensor fixer, $- ,Portable,2017
TAC-10CPA/HA,23,1175032007,Sensor resistance, $ 8.04 ,Portable,2017
TAC-10CPA/HA,24,810700515,lead of water, $- ,Portable,2017
TAC-10CPA/HA,25,811200633,Evaporator, $- ,Portable,2017
TAC-10CPA/HA,26,810700397,Front duct of evaporator, $- ,Portable,2017
TAC-10CPA/HA,27,810700400,Centrifugal fan, $- ,Portable,2017
TAC-10CPA/HA,28,810700398,Rear duct of evaporator, $- ,Portable,2017
TAC-10CPA/HA,29,810900023B,Fan motor, $- ,Portable,2017
TAC-10CPA/HA,30,1075100022,Clamp, $- ,Portable,2017
TAC-10CPA/HA,31,810700410,Middle metal panel, $- ,Portable,2017
TAC-10CPA/HA,32,810800093,Support, $- ,Portable,2017
TAC-10CPA/HA,33,810900137,Fan motor, $ 47.46 ,Portable,2017
TAC-10CPA/HA,34,810700417,Rear duct of condenser, $- ,Portable,2017
TAC-10CPA/HA,35,1175110002,Centrifugal fan, $ 10.00 ,Portable,2017
TAC-10CPA/HA,36,810700416,Front duct of condenser, $- ,Portable,2017
TAC-10CPA/HA,37,810700418,Condenser seal, $- ,Portable,2017
TAC-10CPA/HA,38,811200634,Condenser, $- ,Portable,2017
TAC-10CPA/HA,39,810800073,Condensor protector, $- ,Portable,2017
TAC-10CPA/HA,40,810700026C,Float fix panel, $- ,Portable,2017
TAC-10CPA/HA,41,810900031,Float switch, $- ,Portable,2017
TAC-10CPA/HA,42,1075090029,Splash motor left cover, $- ,Portable,2017
TAC-10CPA/HA,43,8170070001B,Splash motor, $- ,Portable,2017
TAC-10CPA/HA,44,1075090017,Splash moter right cover, $- ,Portable,2017
TAC-10CPA/HA,45,8070032005,Castor, $ 3.24 ,Portable,2017
TAC-10CPA/HA,46,814100485,Base, $- ,Portable,2017
TAC-10CPA/HA,47,810700027,Stopper, $ 1.54 ,Portable,2017
TAC-10CPA/HA,48,1075110023,Splash disk, $- ,Portable,2017
TAC-10CPA/HA,49,811200627,Capillary, $- ,Portable,2017
TAC-10CPA/HA,50,811200626,Compressor, $- ,Portable,2017
TAC-10CPA/HA,51,811200632,Discharge pipe, $- ,Portable,2017
TAC-10CPA/HA,52,811200987,Suction pipe, $- ,Portable,2017
TAC-10CPA/HA,53,810700491,Filter of evaporator, $ 5.36 ,Portable,2017
TAC-10CPA/HA,54,810700490,Grill of evaporator, $- ,Portable,2017
TAC-10CPA/HA,55,810700489,Back panel, $- ,Portable,2017
TAC-10CPA/HA,56,214106113A,Cover of drainage hose, $ 0.40 ,Portable,2017
TAC-10CPA/HA,57,210703297,Seal, $ 2.00 ,Portable,2017
TAC-10CPA/HA,58,210703134,Fixer of drainage cover, $ 2.75 ,Portable,2017
TAC-10CPA/HA,59,8120120025A,Exhaust Hose, $ 12.30 ,Portable,2017
TAC-10CPA/HA,60,810700396,Hose inlet, $ 4.26 ,Portable,2017
TAC-10CPA/HA,61,810700693,Window slider, $ 14.54 ,Portable,2017
TAC-10CPA/HA,62,810700345A,Hose outlet, $ 4.75 ,Portable,2017
TAC-10CPA/HA,63,810800108,Protect net of window sli, $ 2.54 ,Portable,2017
TAC-10CPA/HA,64,810900417B,Remote controller, $ 12.87 ,Portable,2017
TAC-10CPA/HA,65,810900443,Power cord, $- ,Portable,2017
TAC-12CPA/HA,,210703297,Gasket of Cap, $ 2.00 ,Portable,2017
TAC-12CPA/HA,,810700489,Back panel, $- ,Portable,2017
TAC-12CPA/HA,,814100485,Base, $- ,Portable,2017
TAC-12CPA/HA,,1180010112,Bolt, $- ,Portable,2017
TAC-12CPA/HA,,811303357,Bottom foam, $- ,Portable,2017
TAC-12CPA/HA,,1085110009,Capacitor clamp, $- ,Portable,2017
TAC-12CPA/HA,,810900275,Capacitor of compressor, $- ,Portable,2017
TAC-12CPA/HA,,811200627,Capillary, $- ,Portable,2017
TAC-12CPA/HA,,1075100021,Caster Lock, $ 2.00 ,Portable,2017
TAC-12CPA/HA,,810701160,"caster, set of four", $ 3.92 ,Portable,2017
TAC-12CPA/HA,,810700400,Centrifugal fan, $- ,Portable,2017
TAC-12CPA/HA,,1175110002,Centrifugal fan, $ 10.00 ,Portable,2017
TAC-12CPA/HA,,1075100022,Clamp, $- ,Portable,2017
TAC-12CPA/HA,,811200626,Compressor, $- ,Portable,2017
TAC-12CPA/HA,,811200634,Condenser, $- ,Portable,2017
TAC-12CPA/HA,,810700418,Condenser seal, $- ,Portable,2017
TAC-12CPA/HA,,810800073,Condensor protector, $- ,Portable,2017
TAC-12CPA/HA,,810900378,Control circuit board, $- ,Portable,2017
TAC-12CPA/HA,,810700691,Deflector link, $ 0.50 ,Portable,2017
TAC-12CPA/HA,,811200632,Discharge pipe, $- ,Portable,2017
TAC-12CPA/HA,,810900379,Display board, $ 41.80 ,Portable,2017
TAC-12CPA/HA,,210703134,Drain Cap Tether, $ 2.75 ,Portable,2017
TAC-12CPA/HA,,810701052B,Drain Hose Cap, $ 0.85 ,Portable,2017
TAC-12CPA/HA,,810800071,Electrical box, $- ,Portable,2017
TAC-12CPA/HA,,810800072,Electrical box cover, $- ,Portable,2017
TAC-12CPA/HA,,811200633,Evaporator, $- ,Portable,2017
TAC-12CPA/HA,,1075032001A,Exhaust Hose, $ 15.02 ,Portable,2017
TAC-12CPA/HA,,810900137,Fan motor, $ 47.46 ,Portable,2017
TAC-12CPA/HA,,810900023B,Fan motor, $- ,Portable,2017
TAC-12CPA/HA,,1170100037,Fan motor capacitor, $ 9.76 ,Portable,2017
TAC-12CPA/HA,,1170100044,Fan motor capacitor, $ 5.68 ,Portable,2017
TAC-12CPA/HA,,810700491,Filter, $ 5.36 ,Portable,2017
TAC-12CPA/HA,,810700692,Fixer of motor, $- ,Portable,2017
TAC-12CPA/HA,,810800107,Fixer of window slider, $- ,Portable,2017
TAC-12CPA/HA,,810700026C,Float fix panel, $- ,Portable,2017
TAC-12CPA/HA,,810900031,Float switch, $- ,Portable,2017
TAC-12CPA/HA,,810700416,Front duct of condenser, $- ,Portable,2017
TAC-12CPA/HA,,810700397,Front duct of evaporator, $- ,Portable,2017
TAC-12CPA/HA,,810700762B,Front panel, $- ,Portable,2017
TAC-12CPA/HA,,811303413,Front supporter of carton, $- ,Portable,2017
TAC-12CPA/HA,,810700490,Grill of evaporator, $- ,Portable,2017
TAC-12CPA/HA,,810700497,Handle, $- ,Portable,2017
TAC-12CPA/HA,,810700494,Horizon deflector 2, $ 5.58 ,Portable,2017
TAC-12CPA/HA,,810700689,Horizon deflector link 1, $ 4.00 ,Portable,2017
TAC-12CPA/HA,,810701089,Hose inlet, $ 3.60 ,Portable,2017
TAC-12CPA/HA,,810700515,lead of water, $- ,Portable,2017
TAC-12CPA/HA,,810700027,Lower drain plug, $ 1.54 ,Portable,2017
TAC-12CPA/HA,,810700410,Middle metal panel, $- ,Portable,2017
TAC-12CPA/HA,,810700492,Outlet duct, $- ,Portable,2017
TAC-12CPA/HA,,811303415,Pad of lower foam, $- ,Portable,2017
TAC-12CPA/HA,,811303723B,Panel sticker, $- ,Portable,2017
TAC-12CPA/HA,,810900443,Power cord, $- ,Portable,2017
TAC-12CPA/HA,,810800088,Protect net, $ 3.12 ,Portable,2017
TAC-12CPA/HA,,810800108,Protect net of window slider, $ 2.54 ,Portable,2017
TAC-12CPA/HA,,810700417,Rear duct of condenser, $- ,Portable,2017
TAC-12CPA/HA,,810700398,Rear duct of evaporator, $- ,Portable,2017
TAC-12CPA/HA,,811303414,Rear supporter of carton, $- ,Portable,2017
TAC-12CPA/HA,,8090950003B,Receiver board, $ 14.88 ,Portable,2017
TAC-12CPA/HA,,810900417B,Remote controller, $ 12.87 ,Portable,2017
TAC-12CPA/HA,,1073030201,Sensor fixer, $- ,Portable,2017
TAC-12CPA/HA,,1175032007,Sensor resistance, $ 8.04 ,Portable,2017
TAC-12CPA/HA,,1075110023,Splash disk, $- ,Portable,2017
TAC-12CPA/HA,,1075090017,Splash moter right cover, $- ,Portable,2017
TAC-12CPA/HA,,8170070001B,Splash motor, $- ,Portable,2017
TAC-12CPA/HA,,1075090029,Splash motor left cover, $- ,Portable,2017
TAC-12CPA/HA,,810700789,Sponge of window slider 1, $- ,Portable,2017
TAC-12CPA/HA,,810700360,Sponge of window slider 2, $- ,Portable,2017
TAC-12CPA/HA,,1175032001B,Step motor, $ 21.60 ,Portable,2017
TAC-12CPA/HA,,811200987,Suction pipe, $- ,Portable,2017
TAC-12CPA/HA,,810800093,Support, $- ,Portable,2017
TAC-12CPA/HA,,810700690,Support of deflector, $ 2.00 ,Portable,2017
TAC-12CPA/HA,,811303412,Top pad, $- ,Portable,2017
TAC-12CPA/HA,,810700488,Top panel, $- ,Portable,2017
TAC-12CPA/HA,,811303356,Upper foam, $- ,Portable,2017
TAC-12CPA/HA,,810701112,Window Gasket, $ 1.00 ,Portable,2017
TAC-12CPA/HA,,810700693,"Window slider, Circle 5""", $ 14.54 ,Portable,2017
TAW15CRE19,1,210739750,Front Panel Assembly, $ 50.08 ,Window,2019
TAW15CRE19,1.1,210738630,Intake grille, $- ,Window,2019
TAW15CRE19,1.2,210736614,swing rod, $- ,Window,2019
TAW15CRE19,1.3,210736557,Leading Flow Circle, $- ,Window,2019
TAW15CRE19,1.4,210736555,Air Filter, $ 7.50 ,Window,2019
TAW15CRE19,1.5,210736551,Front Panel, $- ,Window,2019
TAW15CRE19,1.6,210736554,Louver Connecter, $- ,Window,2019
TAW15CRE19,1.7,210736553,Louver, $- ,Window,2019
TAW15CRE19,2,210736556,Front Vortex Shell, $- ,Window,2019
TAW15CRE19,3,210826634,Electrical Box Cover supporter, $- ,Window,2019
TAW15CRE19,4,210736558,Water drainage pan, $- ,Window,2019
TAW15CRE19,5,210826633,Top plate, $- ,Window,2019
TAW15CRE19,6,210736562,Back Vortex Shell, $- ,Window,2019
TAW15CRE19,7,210826715,Partition plate Assembly, $- ,Window,2019
TAW15CRE19,8,210736566,Filler Panels Left Rail, $ 5.16 ,Window,2019
TAW15CRE19,9,210736743,Filler Panels, $ 6.24 ,Window,2019
TAW15CRE19,10,210826835,Top mounting Rail, $ 8.70 ,Window,2019
TAW15CRE19,11,210736744,Filler Panels plug, $ 2.00 ,Window,2019
TAW15CRE19,12,210736567,Filler Panels Right Rail, $ 4.68 ,Window,2019
TAW15CRE19,13,210826802,Cabinet, $- ,Window,2019
TAW15CRE19,14,211234235,Condenser, $- ,Window,2019
TAW15CRE19,15,211234264,cold tube, $- ,Window,2019
TAW15CRE19,16,210736731,Propeller Fan, $- ,Window,2019
TAW15CRE19,17,210736748,Back Surround Plate Assembly, $- ,Window,2019
TAW15CRE19,18,210736656,Back Surround Cover Plate, $- ,Window,2019
TAW15CRE19,19,210901458,Fan Motor, $ 78.36 ,Window,2019
TAW15CRE19,20,210736741,Centrifugal Fan, $- ,Window,2019
TAW15CRE19,21,210736569,Pipe Cover (four-way), $- ,Window,2019
TAW15CRE19,22,210736570,Pipe Cover (two-way), $- ,Window,2019
TAW15CRE19,23,210826712,Base, $- ,Window,2019
TAW15CRE19,24,211234252,Compressor, $- ,Window,2019
TAW15CRE19,25,211234247,Evaporator, $- ,Window,2019
TAW15CRE19,26,211234272,Capillary Assembly, $- ,Window,2019
TAW15CRE19,27,211234269,Discharge Pipe, $- ,Window,2019
TAW15CRE19,28,214146728,Electrical Assembly, $- ,Window,2019
TAW15CRE19,28.1,210826731,Electrical Box, $- ,Window,2019
TAW15CRE19,28.2,210736568,Main pcb supporter, $- ,Window,2019
TAW15CRE19,28.3,210901411C,Main pcb, $ 37.48 ,Window,2019
TAW15CRE19,28.4,210901423,Capacitor, $ 13.50 ,Window,2019
TAW15CRE19,28.5,210901465A,Transformer, $ 5.10 ,Window,2019
TAW15CRE19,28.6,210826496,Capacitor Strip, $- ,Window,2019
TAW15CRE19,28.7,210736561,Control Box panel, $- ,Window,2019
TAW15CRE19,28.8,210901461,Display PCB, $ 18.05 ,Window,2019
TAW15CRE19,29,210901457C,Remote Controller, $ 7.96 ,Window,2019
TAW15CRE19,30,210901453A,Power Supply Cord, $ 38.04 ,Window,2019
TAW15CRE19,31,214146703,Installation accessories, $- ,Window,2019
TAW15CRE19,31.1,214148430,Screw assembly, $ 4.00 ,Window,2019
TAW15CRE19,31.2,210736744,Filler Panels plug, $ 2.00 ,Window,2019
TAW15CRE19,31.3,210826659,Support Bracket(Left), $ 13.68 ,Window,2019
TAW15CRE19,31.4,210826660,Support Bracket(Right), $ 13.68 ,Window,2019
TAW15CRE19,31.5,210737020,Window Sash seal, $ 3.00 ,Window,2019
TAW15CRE19,31.6,210737051,Foam Top window Gasket, $ 2.00 ,Window,2019
TAW15CRE19,31.7,210737551,Insulation strip sponge, $ 6.40 ,Window,2019
TAW15CRE19,31.8,1190080025AK,Instructions bag, $- ,Window,2019
TAW15CRE19,31.9,211353823,Support Bracket bag, $- ,Window,2019
TAW15CRE19,33,211351686,Base Carton, $- ,Window,2019
TAW15CRE19,34,211349460,Base Foaming, $- ,Window,2019
TAW15CRE19,35,211349459,Top cover, $- ,Window,2019
TAW15CRE19,36,210901539,Sensor Assembly, $ 6.96 ,Window,2019
TAW15CRE19,48153,1193070510,screw bag, $ 4.00 ,Window,2019
TAW15CRE19,48154,210826603,Sash lock, $ 2.00 ,Window,2019
TAW15CRE19,48155,210826661,Sill Angel Bracket, $ 3.28 ,Window,2019
TAW15CRE19,48156,211800127,"5/8"" Flat Head Bolt", $ 0.40 ,Window,2019
TAW15CRE19,48157,1180200010,"5/8"" Locknut", $ 0.25 ,Window,2019
TAW15CRE19,48158,211800128,Gasket, $ 0.50 ,Window,2019
TAW15CRE19,48159,211800131,"1/2"" Flat Head screw", $- ,Window,2019
TAW15CRE19,48160,3180090030,"5/8"" Flat Head screw", $ 0.40 ,Window,2019
TAW15CRE19,48161,1180110035,"1/2"" Flat Head Bolt", $- ,Window,2019
TAW15CRE19,48162,211800130,"1/2"" Locknut", $ 0.50 ,Window,2019
TAW15CRE19,48163,211800132,"5/16"" Hex-head screw", $ 0.50 ,Window,2019
20D1,,210703297,Seal, $ 2.00 ,Dehumidifier,2021
20D1,,810701538,Base, $- ,Dehumidifier,2021
20D1,,811302441,Bottom foam, $- ,Dehumidifier,2021
20D1,,81072000026E,Bucket, $ 18.58 ,Dehumidifier,2021
20D1,,210800490,Capacitor clamp, $- ,Dehumidifier,2021
20D1,,810900309,Capacitor of compressor, $ 9.69 ,Dehumidifier,2021
20D1,,811200894,Capillary, $- ,Dehumidifier,2021
20D1,,210702984,"caster, set of four", $ 3.68 ,Dehumidifier,2021
20D1,,810700425,Centrifugal fan, $ 10.00 ,Dehumidifier,2021
20D1,,811202068,Compressor, $- ,Dehumidifier,2021
20D1,,811200500,Condensor, $- ,Dehumidifier,2021
20D1,,810900595A,Control circuit board, $- ,Dehumidifier,2021
20D1,,81071800070,Cover of duct, $- ,Dehumidifier,2021
20D1,,81071800065,Cover of heat-exchanger, $- ,Dehumidifier,2021
20D1,,81072000027C,Cover of water bucket, $ 4.41 ,Dehumidifier,2021
20D1,,811201392,Discharge pipe, $- ,Dehumidifier,2021
20D1,,810900599,Display board, $- ,Dehumidifier,2021
20D1,,810701310A,Drain Hose Cap, $ 0.60 ,Dehumidifier,2021
20D1,,81071800069,Duct, $- ,Dehumidifier,2021
20D1,,81080700013,Electrical box, $- ,Dehumidifier,2021
20D1,,81080700014,Electrical box cover, $- ,Dehumidifier,2021
20D1,,811200645,Evaporator, $- ,Dehumidifier,2021
20D1,,210900358,Fan motor, $ 32.42 ,Dehumidifier,2021
20D1,,1170100030A,Fan motor capacitor, $ 3.76 ,Dehumidifier,2021
20D1,,81072000034A,Filter, $ 10.24 ,Dehumidifier,2021
20D1,,81080700015,Fixer of control PCB, $- ,Dehumidifier,2021
20D1,,210703134,Fixer of drainage cover, $ 2.75 ,Dehumidifier,2021
20D1,,214106114,Fixer of micro-switch, $ 0.64 ,Dehumidifier,2021
20D1,,81071800055D,Float, $ 2.96 ,Dehumidifier,2021
20D1,,810700424,Foam of float, $ 1.00 ,Dehumidifier,2021
20D1,,81072000035D,Frame, $ 7.00 ,Dehumidifier,2021
20D1,,81072000025Y,Front panel, $- ,Dehumidifier,2021
20D1,,810900236A,Humidity sensor, $ 15.76 ,Dehumidifier,2021
20D1,,810700515,Leader of water, $- ,Dehumidifier,2021
20D1,,81072000036D,Left handle, $- ,Dehumidifier,2021
20D1,,81072000006A,Lower cover of pump, $- ,Dehumidifier,2021
20D1,,810900307,Micro-switch, $ 5.60 ,Dehumidifier,2021
20D1,,1180200010,Nut, $ 0.25 ,Dehumidifier,2021
20D1,,1180220001,Nut, $- ,Dehumidifier,2021
20D1,,811306485A,Panel sticker, $- ,Dehumidifier,2021
20D1,,210900346D,Power cord, $ 17.08 ,Dehumidifier,2021
20D1,,810800087,Protect net, $- ,Dehumidifier,2021
20D1,,81072000033E,Rear panel, $- ,Dehumidifier,2021
20D1,,810700614D,Right handle, $- ,Dehumidifier,2021
20D1,,210703162,Sensor fixer, $ 2.00 ,Dehumidifier,2021
20D1,,210900480B,Sensor resistance, $ 8.00 ,Dehumidifier,2021
20D1,,811202296,Suction pipe, $- ,Dehumidifier,2021
20D1,,810100023,Tie ball, $ 0.50 ,Dehumidifier,2021
20D1,,81072000032D,Top panel, $- ,Dehumidifier,2021
20D1,,810701303,Tray, $- ,Dehumidifier,2021
20D1,,81072000005A,Upper cover of pump, $- ,Dehumidifier,2021
20D1,,811302442,Upper foam, $- ,Dehumidifier,2021
30D91,1,81072000026E,Water tank assembly, $ 18.58 ,Dehumidifier,2021
30D91,2,81072000025Y,Front panel, $- ,Dehumidifier,2021
30D91,3,81072000036D,Left handle, $- ,Dehumidifier,2021
30D91,4,810700614D,Right handle, $- ,Dehumidifier,2021
30D91,5,810800087,Protect net, $- ,Dehumidifier,2021
30D91,6,810900599,Display board, $- ,Dehumidifier,2021
30D91,7,810701862C,Top panel, $- ,Dehumidifier,2021
30D91,8,811306485B,Panel sticker, $- ,Dehumidifier,2021
30D91,9,81071800070,Cover of duct, $- ,Dehumidifier,2021
30D91,10,810700425,Centrifugal fan, $ 10.00 ,Dehumidifier,2021
30D91,11,210900358,Fan motor, $ 32.42 ,Dehumidifier,2021
30D91,12,81071800069,Duct, $- ,Dehumidifier,2021
30D91,13,810701304A,Cover of pump subassembly, $- ,Dehumidifier,2021
30D91,14,811201994,Heat-exchanger subassembly, $- ,Dehumidifier,2021
30D91,15,810700515,Leader of water, $- ,Dehumidifier,2021
30D91,16,81071800065,Cover of heat-exchanger, $- ,Dehumidifier,2021
30D91,17,210703162,Sensor fixer, $ 2.00 ,Dehumidifier,2021
30D91,18,810900236A,Humidity sensor, $ 15.76 ,Dehumidifier,2021
30D91,19,81072000033E,Rear panel, $- ,Dehumidifier,2021
30D91,20,81072000034A,Filter, $ 10.24 ,Dehumidifier,2021
30D91,20,81072000035D,Filter fixer, $ 7.00 ,Dehumidifier,2021
30D91,21,810701299A,Cover of drainage hose subassembly, $ 1.30 ,Dehumidifier,2021
30D91,22,214106309,Capacitor clamp, $ 1.00 ,Dehumidifier,2021
30D91,23,810900205,Capacitor of compressor, $ 11.97 ,Dehumidifier,2021
30D91,24,1170100044,Fan motor capacitor, $ 5.68 ,Dehumidifier,2021
30D91,25,214106114,Fixer of micro-switch, $ 0.64 ,Dehumidifier,2021
30D91,26,810900307,Micro-switch, $ 5.60 ,Dehumidifier,2021
30D91,27,81080700014,Electric box cover, $- ,Dehumidifier,2021
30D91,28,810900595A,Control circuit board, $- ,Dehumidifier,2021
30D91,29,81080700015,Fixer of control PCB, $- ,Dehumidifier,2021
30D91,30,81080700013,Electrical box, $- ,Dehumidifier,2021
30D91,31,210900480B,Sensor resistance, $ 8.00 ,Dehumidifier,2021
30D91,32,810100023,Tie, $ 0.50 ,Dehumidifier,2021
30D91,33,210900346D,Power cord, $ 17.08 ,Dehumidifier,2021
30D91,34,810701303,Tray subassembly, $- ,Dehumidifier,2021
30D91,35,811201392,Discharge pipe subassembly, $- ,Dehumidifier,2021
30D91,36,811201066,Suction pipe, $- ,Dehumidifier,2021
30D91,37,811201996,Compressor, $- ,Dehumidifier,2021
30D91,38,810701538,Base subassembly, $- ,Dehumidifier,2021
30D91,39,210702984,"caster, set of four", $ 3.68 ,Dehumidifier,2021
30D91,43,811302441,Bottom foam, $- ,Dehumidifier,2021
30D91,44,811302442,Upper foam, $- ,Dehumidifier,2021
30D91,*,814100762A,WiFi module, $- ,Dehumidifier,2021
40D91,1,81071800018S,Front panel, $- ,Dehumidifier,2021
40D91,2,81071800036D,Top panel, $- ,Dehumidifier,2021
40D91,3,811306486D,Panel sticker, $- ,Dehumidifier,2021
40D91,4,810900599,Display board, $- ,Dehumidifier,2021
40D91,5,81071800049,Operation panel box, $- ,Dehumidifier,2021
40D91,6,81071800035D,Handle, $- ,Dehumidifier,2021
40D91,7,81071800044,Cover of duct, $- ,Dehumidifier,2021
40D91,8,810700435,Centrifugal fan, $- ,Dehumidifier,2021
40D91,9,210900347A,Fan motor, $- ,Dehumidifier,2021
40D91,10,810701975,Duct, $- ,Dehumidifier,2021
40D91,11,81071800034C,Rear panel, $- ,Dehumidifier,2021
40D91,12,81071800032C,Filter frame, $ 5.00 ,Dehumidifier,2021
40D91,13,81071800033B,Filter, $ 13.36 ,Dehumidifier,2021
40D91,14,810701299A,Drain Cap, $ 1.30 ,Dehumidifier,2021
40D91,15,81080800025,Electric box cover, $- ,Dehumidifier,2021
40D91,16,810900595A,Control PCB, $- ,Dehumidifier,2021
40D91,17,81080700015,Fixer of control PCB, $- ,Dehumidifier,2021
40D91,18,81080700013,Electrical box, $- ,Dehumidifier,2021
40D91,19,210900346D,Power cord, $ 17.08 ,Dehumidifier,2021
40D91,20,214106309,Transformer, $ 1.00 ,Dehumidifier,2021
40D91,21,810900205,Capacitor of compressor, $ 11.97 ,Dehumidifier,2021
40D91,22,810900766,Fan motor capacitor, $- ,Dehumidifier,2021
40D91,23,210703162,Sensor fixer, $ 2.00 ,Dehumidifier,2021
40D91,24,810900236A,Humidity sensor, $ 15.76 ,Dehumidifier,2021
40D91,25,210900480B,Sensor resistance, $ 8.00 ,Dehumidifier,2021
40D91,26,81071800047,Fixer of micro-switch, $- ,Dehumidifier,2021
40D91,27,810900307,Micro-switch, $ 5.60 ,Dehumidifier,2021
40D91,28,811201963,Heat-exchanger subassembly, $- ,Dehumidifier,2021
40D91,29,810700515,lead of water, $- ,Dehumidifier,2021
